Full_sample_name;sample_name;ng_DNA;Shoot_length;Shoot_biomass;Root_biomass;DNA_Konc;Timepoint;DAS;Compartment;Treatment;Treatment_nr.;Average citric acid ppm;std error;Average exudation rate citric acid mg/h;Average malic acid ppm;std error;Average exudation rate malic acid mg/h;std error;Shoot_biomass;std error;Tillers
C1_T1_S6_53_bulk;53;145,8;;;;;T1;15;Bulk;P30_no_plant;;;;;;;;;;;0
C1_T1_S6_54_bulk;54;96,66;;;;;T1;15;Bulk;P30_no_plant;;;;;;;;;;;0
C1_T1_S6_55_bulk;55;127,98;;;;;T1;15;Bulk;P30_no_plant;;;;;;;;;;;0
C1_T1_S6_57;57;165,78;;47,8;;;T1;15;Rhizoplane;P30_-_early_harvest;;;;;;;;;;;0
C1_T1_S6_58;58;177,66;;52;;;T1;15;Rhizoplane;P30_-_early_harvest;;;;;;;;;;;0
C1_T1_S6_59;59;180,36;;52;;;T1;15;Rhizoplane;P30_-_early_harvest;;;;;;;;;;;0
C1_T1_S6_60;60;182,52;;40,5;;;T1;15;Rhizoplane;P30_-_early_harvest;;;;;;;;;;;0
C1_T2_S6_1;1;290,4;;652;;;T2;35;Rhizoplane;P30;;;;;;;;;;;6
C1_T2_S6_2;2;280,35;;367,9;;;T2;35;Rhizoplane;P30;;;;;;;;;;;2
C1_T2_S6_3;3;247,8;;304,6;;;T2;35;Rhizoplane;P30;;;;;;;;;;;2
C1_T2_S6_4;4;277,3;;401;;;T2;35;Rhizoplane;P30;;;;;;;;;;;4
C1_T2_S6_49_bulk;49;157,04;;;;;T2;35;Bulk;P30_no_plant;;;;;;;;;;;0
C1_T2_S6_50_bulk;50;131,56;;;;;T2;35;Bulk;P30_no_plant;;;;;;;;;;;0
C1_T2_S6_51_bulk;51;152,28;;;;;T2;35;Bulk;P30_no_plant;;;;;;;;;;;0
C2_T1_S6_65;65;194,4;;39,7;;;T1;15;Rhizoplane;P60_-_early_harvest;;;;;;;;;;;0
C2_T1_S6_66;66;182,52;;43,6;;;T1;15;Rhizoplane;P60_-_early_harvest;;;;;;;;;;;0
C2_T1_S6_67;67;166,32;;48,6;;;T1;15;Rhizoplane;P60_-_early_harvest;;;;;;;;;;;0
C2_T1_S6_68;68;132,3;;47,8;;;T1;15;Rhizoplane;P60_-_early_harvest;;;;;;;;;;;0
C2_T2_S6_10;10;243,04;;500,7;;;T2;35;Rhizoplane;P60;;;;;;;;;;;5
C2_T2_S6_11;11;226,24;;1363,7;;;T2;35;Rhizoplane;P60;;;;;;;;;;;12
C2_T2_S6_12;12;246,4;;672,2;;;T2;35;Rhizoplane;P60;;;;;;;;;;;7
C2_T2_S6_9;9;199,92;;1483,7;;;T2;35;Rhizoplane;P60;;;;;;;;;;;10
C4_T2_S6_25;25;223,8;;606,3;;;T2;35;Rhizoplane;P30_+_0.075_M_foliar_P;;;;;;;;;;;7
C4_T2_S6_26;26;200,75;;709,7;;;T2;35;Rhizoplane;P30_+_0.075_M_foliar_P;;;;;;;;;;;6
C4_T2_S6_27;27;223,2;;978;;;T2;35;Rhizoplane;P30_+_0.075_M_foliar_P;;;;;;;;;;;8
C4_T2_S6_28;28;273,6;;717,7;;;T2;35;Rhizoplane;P30_+_0.075_M_foliar_P;;;;;;;;;;;10
C5_T2_S6_33;33;199,26;;1076,3;;;T2;35;Rhizoplane;P30_+_0.15_M_foliar_P;;;;;;;;;;;10
C5_T2_S6_34;34;292,2;;890,9;;;T2;35;Rhizoplane;P30_+_0.15_M_foliar_P;;;;;;;;;;;9
C5_T2_S6_35;35;204,96;;925,3;;;T2;35;Rhizoplane;P30_+_0.15_M_foliar_P;;;;;;;;;;;9
C5_T2_S6_36;36;214,8;;1118;;;T2;35;Rhizoplane;P30_+_0.15_M_foliar_P;;;;;;;;;;;8
C6_T2_S6_41;41;171,92;;796,8;;;T2;35;Rhizoplane;P30_no_SG;;;;;;;;;;;6
C6_T2_S6_42;42;212,68;;669;;;T2;35;Rhizoplane;P30_no_SG;;;;;;;;;;;4
C6_T2_S6_43;43;168,48;;621,1;;;T2;35;Rhizoplane;P30_no_SG;;;;;;;;;;;5
C6_T2_S6_44;44;161,72;;194,2;;;T2;35;Rhizoplane;P30_no_SG;;;;;;;;;;;2
Mock1;Mock1;356,4;;;;;T0;;Rhizoplane;Mock;;;;;;;;;;;
Mock2;Mock2;324;;;;;T0;;Rhizoplane;Mock;;;;;;;;;;;
